scenario_id,status,pairs_count,relays_count,optimized_relays,tmt_before,tmt_after,tmt_improvement,tmt_improvement_pct,coordination_before,coordination_after,coordination_pct_before,coordination_pct_after,avg_tds,std_tds,min_tds,max_tds,avg_pickup,std_pickup,min_pickup,max_pickup,fault_types,optimization_efficiency
scenario_14,✅ MEJORÓ,98,73,73,26.98,16.11061,10.86939,40.29,12,66,12.0,66.0,0.42426,0.17825,0.05843,0.76891,0.16265,0.11097,0.02395,0.52754,2,100.0
scenario_15,✅ MEJORÓ,98,73,73,20.3946,14.569519,5.825081,28.56,12,67,12.0,67.0,0.40176,0.17786,0.06174,0.75211,0.14907,0.09588,0.01707,0.52254,2,100.0
scenario_47,✅ MEJORÓ,97,73,73,14.7238,13.011554,1.712246,11.63,10,69,10.0,69.0,0.39607,0.17581,0.07931,0.78913,0.16512,0.10999,0.0337,0.53045,2,100.0
scenario_45,✅ MEJORÓ,97,73,73,15.7375,14.384335,1.353165,8.6,11,69,11.0,69.0,0.44828,0.18655,0.06218,0.78745,0.16681,0.10716,0.01823,0.52353,2,100.0
scenario_5,✅ MEJORÓ,98,73,73,16.8832,15.576896,1.306304,7.74,11,70,11.0,70.0,0.44407,0.18785,0.06463,0.78988,0.14589,0.10158,0.01628,0.54725,2,100.0
scenario_34,✅ MEJORÓ,100,74,74,15.668,14.6547,1.0133,6.47,11,69,11.0,69.0,0.37654,0.18241,0.07889,0.77698,0.51127,0.60722,0.05992,4.14151,2,100.0
scenario_13,✅ MEJORÓ,98,73,73,13.8344,13.339896,0.494504,3.57,10,76,10.0,76.0,0.37828,0.18723,0.05135,0.79896,0.16106,0.11514,0.02806,0.55277,2,100.0
scenario_65,✅ MEJORÓ,100,74,74,14.8151,14.514785,0.300315,2.03,15,75,15.0,75.0,0.42543,0.18908,0.09776,0.78532,0.54235,0.77373,0.06806,5.59169,2,100.0
scenario_8,❌ EMPEORÓ,98,73,73,13.7231,14.037587,-0.314487,-2.29,10,66,10.0,66.0,0.42758,0.19967,0.05636,0.79576,0.16438,0.1098,0.02624,0.58708,2,100.0
scenario_9,❌ EMPEORÓ,98,73,73,13.8887,14.423927,-0.535227,-3.85,12,67,12.0,67.0,0.38017,0.18779,0.05769,0.78485,0.17297,0.11416,0.00946,0.58657,2,100.0
scenario_28,❌ EMPEORÓ,100,74,74,15.8432,16.482043,-0.638843,-4.03,12,69,12.0,69.0,0.40324,0.19302,0.0767,0.78485,0.50965,0.67535,0.05545,4.76543,2,100.0
scenario_11,❌ EMPEORÓ,98,73,73,14.0504,14.742926,-0.692526,-4.93,10,75,10.0,75.0,0.39129,0.16208,0.05723,0.75411,0.15702,0.10429,0.0163,0.54776,2,100.0
scenario_38,❌ EMPEORÓ,97,73,73,14.1091,14.843791,-0.734691,-5.21,6,70,6.0,70.0,0.43194,0.17077,0.11478,0.77031,0.17968,0.11758,0.02219,0.62867,2,100.0
scenario_31,❌ EMPEORÓ,100,74,74,15.8668,16.875518,-1.008718,-6.36,11,67,11.0,67.0,0.43494,0.19655,0.08495,0.79219,0.46578,0.52659,0.05291,3.55074,2,100.0
scenario_44,❌ EMPEORÓ,97,73,73,13.8963,15.025118,-1.128818,-8.12,8,67,8.0,67.0,0.37598,0.16787,0.05468,0.74359,0.15202,0.09488,0.02407,0.49258,2,100.0
scenario_62,❌ EMPEORÓ,100,74,74,15.3309,16.589864,-1.258964,-8.21,14,79,14.0,79.0,0.44679,0.18753,0.06793,0.7995,0.53435,0.73389,0.06059,4.86734,2,100.0
scenario_39,❌ EMPEORÓ,97,73,73,13.684,15.166776,-1.482776,-10.84,11,67,11.0,67.0,0.45413,0.16819,0.16366,0.78214,0.16372,0.11943,0.02468,0.63331,2,100.0
scenario_59,❌ EMPEORÓ,100,74,74,15.1619,16.699455,-1.537555,-10.14,12,68,12.0,68.0,0.40973,0.18612,0.07738,0.79204,0.52082,0.62191,0.05882,3.73158,2,100.0
scenario_50,❌ EMPEORÓ,98,73,73,14.0232,15.585703,-1.562503,-11.14,7,69,7.0,69.0,0.45398,0.19816,0.05369,0.79794,0.15516,0.11003,0.0125,0.59301,2,100.0
scenario_27,❌ EMPEORÓ,100,74,74,15.8769,17.646384,-1.769484,-11.15,13,73,13.0,73.0,0.44397,0.1769,0.06489,0.79732,0.45917,0.64291,0.06247,4.99427,2,100.0
scenario_46,❌ EMPEORÓ,97,73,73,14.7336,16.679856,-1.946256,-13.21,10,73,10.0,73.0,0.46787,0.18427,0.05945,0.79244,0.1742,0.11348,0.02518,0.63139,2,100.0
scenario_2,❌ EMPEORÓ,98,73,73,13.6949,15.94847,-2.25357,-16.46,10,72,10.0,72.0,0.46566,0.17761,0.07709,0.79194,0.1648,0.10586,0.00797,0.55504,2,100.0
scenario_7,❌ EMPEORÓ,98,73,73,13.5146,15.863958,-2.349358,-17.38,12,74,12.0,74.0,0.4446,0.18789,0.0695,0.79801,0.17004,0.1175,0.02686,0.52002,2,100.0
scenario_43,❌ EMPEORÓ,97,73,73,13.7318,16.207289,-2.475489,-18.03,11,75,11.0,75.0,0.39512,0.19286,0.0524,0.77451,0.1722,0.10776,0.02046,0.4678,2,100.0
scenario_48,❌ EMPEORÓ,97,73,73,14.2652,16.823479,-2.558279,-17.93,8,69,8.0,69.0,0.43894,0.1814,0.10003,0.77058,0.1819,0.11616,0.0269,0.56742,2,100.0
scenario_57,❌ EMPEORÓ,100,74,74,15.2631,17.891879,-2.628779,-17.22,12,66,12.0,66.0,0.43989,0.1802,0.13671,0.79611,0.46436,0.53227,0.06009,3.34086,2,100.0
scenario_1,❌ EMPEORÓ,100,74,74,15.8543,18.685726,-2.831426,-17.86,12,64,12.0,64.0,0.36712,0.19142,0.0539,0.78124,0.47714,0.68424,0.06667,5.43751,2,100.0
scenario_30,❌ EMPEORÓ,100,74,74,15.6882,18.609293,-2.921093,-18.62,9,67,9.0,67.0,0.45205,0.19237,0.06123,0.79103,0.49975,0.65722,0.05228,4.64032,2,100.0
scenario_52,❌ EMPEORÓ,98,73,73,13.849,16.978132,-3.129132,-22.59,11,71,11.0,71.0,0.39959,0.19274,0.05189,0.755,0.15853,0.10486,0.01223,0.46647,2,100.0
scenario_42,❌ EMPEORÓ,97,73,73,13.4124,16.937791,-3.525391,-26.28,14,65,14.0,65.0,0.39878,0.17805,0.07719,0.77901,0.13293,0.08253,0.01438,0.47815,2,100.0
scenario_41,❌ EMPEORÓ,97,73,73,13.3719,16.940597,-3.568697,-26.69,12,67,12.0,67.0,0.39996,0.16834,0.06472,0.75968,0.17722,0.09738,0.01558,0.4746,2,100.0
