scenario_id,status,pairs_count,relays_count,optimized_relays,avg_tds,std_tds,min_tds,max_tds,avg_pickup,std_pickup,min_pickup,max_pickup,fault_types,optimization_efficiency
scenario_1,success,100,74,74,0.3671163513513514,0.1914188382280575,0.0539,0.78124,0.4771374324324324,0.6842409277994411,0.06667,5.43751,2,100.0
scenario_2,success,98,73,73,0.4656560273972603,0.1776094361983174,0.07709,0.79194,0.1647954794520548,0.10586383368414527,0.00797,0.55504,2,100.0
scenario_3,success,97,73,73,0.42275205479452055,0.1971381741766308,0.05893,0.79145,0.1514441095890411,0.08391915548361935,0.01717,0.38758,2,100.0
scenario_4,success,100,74,74,0.42966932432432425,0.18805738531407132,0.05813,0.78333,0.4388052702702703,0.44734202373944854,0.0525,2.64123,2,100.0
scenario_5,success,98,73,73,0.444066301369863,0.1878480538656567,0.06463,0.78988,0.14588712328767123,0.10158221394690442,0.01628,0.54725,2,100.0
scenario_6,success,98,73,73,0.45181917808219185,0.19257307195041662,0.07546,0.79766,0.16095219178082193,0.11227204053372797,0.03183,0.58787,2,100.0
scenario_7,success,98,73,73,0.44460068493150684,0.1878916289978776,0.0695,0.79801,0.1700423287671233,0.11749751181883784,0.02686,0.52002,2,100.0
scenario_8,success,98,73,73,0.42757616438356166,0.1996703191985471,0.05636,0.79576,0.16437890410958905,0.10980266036602464,0.02624,0.58708,2,100.0
scenario_9,success,98,73,73,0.38016671232876714,0.18779417447640223,0.05769,0.78485,0.17297369863013703,0.11416266278425433,0.00946,0.58657,2,100.0
scenario_10,success,98,73,73,0.4101882191780822,0.20291666451507762,0.0658,0.7995,0.15347849315068493,0.10189301323959593,0.01156,0.54198,2,100.0
scenario_11,success,98,73,73,0.39129438356164387,0.1620833850846854,0.05723,0.75411,0.1570176712328767,0.10429187427495167,0.0163,0.54776,2,100.0
scenario_12,success,98,73,73,0.41008767123287665,0.17839866458988296,0.08855,0.79561,0.15108739726027398,0.0927942115729474,0.01296,0.5399,2,100.0
scenario_13,success,98,73,73,0.3782846575342466,0.18722576017791404,0.05135,0.79896,0.1610578082191781,0.11514007941784121,0.02806,0.55277,2,100.0
scenario_14,success,98,73,73,0.42425821917808215,0.17824584037754476,0.05843,0.76891,0.16265465753424657,0.11097410063246328,0.02395,0.52754,2,100.0
scenario_15,success,98,73,73,0.4017645205479452,0.17785542114383127,0.06174,0.75211,0.14907232876712329,0.09588065367617893,0.01707,0.52254,2,100.0
scenario_16,success,98,73,73,0.4376009589041096,0.19120939438693965,0.05169,0.79374,0.1696760273972603,0.11575361994682401,0.01926,0.61819,2,100.0
scenario_17,success,98,73,73,0.43853698630136984,0.1652993807568221,0.10897,0.79068,0.1457205479452055,0.10373774490274972,0.01512,0.52782,2,100.0
scenario_18,success,98,73,73,0.4565442465753424,0.17722515712387743,0.07468,0.78024,0.1651404109589041,0.1133964486945841,0.02445,0.53322,2,100.0
scenario_19,success,98,73,73,0.3940153424657534,0.17062078946448894,0.06946,0.76838,0.14356068493150684,0.08899871090845353,0.0184,0.45613,2,100.0
scenario_20,success,98,73,73,0.41976205479452056,0.17881503275623511,0.06726,0.78965,0.14809657534246579,0.09634340194964378,0.02757,0.48527,2,100.0
scenario_21,success,100,74,74,0.4877620270270271,0.18019225161056665,0.07358,0.79078,0.4393290540540541,0.5606214563060593,0.05573,3.71788,2,100.0
scenario_22,success,100,74,74,0.4580183783783783,0.17239551993792546,0.16075,0.76588,0.4439914864864865,0.49312258668523967,0.05214,2.57797,2,100.0
scenario_23,success,100,74,74,0.4233540540540541,0.18487653299197335,0.0612,0.77772,0.45353418918918914,0.4065868795227144,0.05688,1.99368,2,100.0
scenario_24,success,100,74,74,0.42673,0.19148836382684217,0.05486,0.79461,0.5022040540540541,0.6782175862248381,0.05082,4.66833,2,100.0
scenario_25,success,100,74,74,0.4371358108108108,0.19873551378114607,0.07607,0.78852,0.5195094594594595,0.5616412328911505,0.0515,3.55944,2,100.0
scenario_26,success,100,74,74,0.4530574324324325,0.19168668883321038,0.08266,0.79466,0.5181812162162164,0.6829459184317415,0.05188,4.16318,2,100.0
scenario_27,success,100,74,74,0.4439741891891892,0.1768951730813414,0.06489,0.79732,0.4591677027027027,0.6429086978020965,0.06247,4.99427,2,100.0
scenario_28,success,100,74,74,0.4032351351351351,0.19302402007958605,0.0767,0.78485,0.5096524324324324,0.6753529675274533,0.05545,4.76543,2,100.0
scenario_29,success,100,74,74,0.4072370270270271,0.19397901326808198,0.05103,0.79923,0.44936378378378383,0.5116916963465474,0.05058,3.6293,2,100.0
