scenario_id,total_pairs,tmt_before,tmt_after,tmt_improvement,improvement_percentage,uncoordinated_before,uncoordinated_after,coordinated_before,coordinated_after,coordination_pct_before,coordination_pct_after,relays_optimized
scenario_14,100,26.98,16.11061,10.86939,40.29,76,32,12,66,12.0,66.0,73
scenario_15,100,20.3946,14.569519,5.825081,28.56,76,31,12,67,12.0,67.0,73
scenario_47,100,14.7238,13.011554,1.712246,11.63,78,28,10,69,10.0,69.0,73
scenario_45,100,15.7375,14.384335,1.353165,8.6,77,28,11,69,11.0,69.0,73
scenario_5,100,16.8832,15.576896,1.306304,7.74,77,28,11,70,11.0,70.0,73
scenario_34,100,15.668,14.6547,1.0133,6.47,89,31,11,69,11.0,69.0,74
scenario_13,100,13.8344,13.339896,0.494504,3.57,77,22,10,76,10.0,76.0,73
scenario_65,100,14.8151,14.514785,0.300315,2.03,85,25,15,75,15.0,75.0,74
scenario_8,100,13.7231,14.037587,-0.314487,-2.29,78,32,10,66,10.0,66.0,73
scenario_9,100,13.8887,14.423927,-0.535227,-3.85,76,31,12,67,12.0,67.0,73
scenario_28,100,15.8432,16.482043,-0.638843,-4.03,88,31,12,69,12.0,69.0,74
scenario_11,100,14.0504,14.742926,-0.692526,-4.93,80,23,10,75,10.0,75.0,73
scenario_38,100,14.1091,14.843791,-0.734691,-5.21,82,27,6,70,6.0,70.0,73
scenario_31,100,15.8668,16.875518,-1.008718,-6.36,89,33,11,67,11.0,67.0,74
scenario_44,100,13.8963,15.025118,-1.128818,-8.12,82,30,8,67,8.0,67.0,73
scenario_62,100,15.3309,16.589864,-1.258964,-8.21,86,21,14,79,14.0,79.0,74
scenario_39,100,13.684,15.166776,-1.482776,-10.84,78,30,11,67,11.0,67.0,73
scenario_59,100,15.1619,16.699455,-1.537555,-10.14,88,32,12,68,12.0,68.0,74
scenario_50,100,14.0232,15.585703,-1.562503,-11.14,83,29,7,69,7.0,69.0,73
scenario_27,100,15.8769,17.646384,-1.769484,-11.15,87,27,13,73,13.0,73.0,74
scenario_46,100,14.7336,16.679856,-1.946256,-13.21,78,24,10,73,10.0,73.0,73
scenario_2,100,13.6949,15.94847,-2.25357,-16.46,78,26,10,72,10.0,72.0,73
scenario_7,100,13.5146,15.863958,-2.349358,-17.38,77,24,12,74,12.0,74.0,73
scenario_43,100,13.7318,16.207289,-2.475489,-18.03,79,22,11,75,11.0,75.0,73
scenario_48,100,14.2652,16.823479,-2.558279,-17.93,80,28,8,69,8.0,69.0,73
scenario_57,100,15.2631,17.891879,-2.628779,-17.22,88,34,12,66,12.0,66.0,74
scenario_1,100,15.8543,18.685726,-2.831426,-17.86,88,36,12,64,12.0,64.0,74
scenario_30,100,15.6882,18.609293,-2.921093,-18.62,91,33,9,67,9.0,67.0,74
scenario_52,100,13.849,16.978132,-3.129132,-22.59,79,27,11,71,11.0,71.0,73
scenario_42,100,13.4124,16.937791,-3.525391,-26.28,75,32,14,65,14.0,65.0,73
scenario_41,100,13.3719,16.940597,-3.568697,-26.69,76,30,12,67,12.0,67.0,73
scenario_35,100,15.5672,19.167761,-3.600561,-23.13,89,34,11,66,11.0,66.0,74
scenario_29,100,15.7265,19.385723,-3.659223,-23.27,85,37,15,63,15.0,63.0,74
scenario_23,100,15.6903,19.414939,-3.724639,-23.74,90,34,10,66,10.0,66.0,74
scenario_63,100,15.4762,19.20787,-3.73167,-24.11,85,34,15,66,15.0,66.0,74
scenario_54,100,15.3747,19.19327,-3.81857,-24.84,87,38,13,62,13.0,62.0,74
scenario_22,100,15.895,19.76619,-3.87119,-24.35,88,30,12,70,12.0,70.0,74
scenario_67,100,14.898,18.772275,-3.874275,-26.01,86,37,14,63,14.0,63.0,74
scenario_12,100,13.8727,17.802597,-3.929897,-28.33,80,27,9,71,9.0,71.0,73
scenario_20,100,13.9789,17.97557,-3.99667,-28.59,80,34,9,64,9.0,64.0,73
scenario_19,100,13.8185,17.819917,-4.001417,-28.96,78,32,11,66,11.0,66.0,73
scenario_24,100,15.5895,19.960226,-4.370726,-28.04,85,29,15,71,15.0,71.0,74
scenario_26,100,15.8085,20.195657,-4.387157,-27.75,93,26,7,74,7.0,74.0,74
scenario_60,100,15.0577,19.54855,-4.49085,-29.82,88,40,12,60,12.0,60.0,74
scenario_18,100,14.1055,18.707713,-4.602213,-32.63,81,25,8,73,8.0,73.0,73
scenario_17,100,13.9985,18.632657,-4.634157,-33.1,79,26,11,72,11.0,72.0,73
scenario_21,100,15.9922,20.684592,-4.692392,-29.34,88,37,12,63,12.0,63.0,74
scenario_16,100,16.0796,20.812964,-4.733364,-29.44,79,30,9,68,9.0,68.0,73
scenario_4,100,15.2305,19.992534,-4.762034,-31.27,87,28,13,72,13.0,72.0,74
scenario_40,100,13.5717,18.344391,-4.772691,-35.17,78,29,11,69,11.0,69.0,73
scenario_25,100,15.6964,20.588029,-4.891629,-31.16,88,38,12,62,12.0,62.0,74
scenario_64,100,15.3634,20.338749,-4.975349,-32.38,89,31,11,69,11.0,69.0,74
scenario_6,100,14.8113,19.806417,-4.995117,-33.73,77,25,11,73,11.0,73.0,73
scenario_33,100,15.541,20.702617,-5.161617,-33.21,88,30,12,70,12.0,70.0,74
scenario_66,100,14.9448,20.564142,-5.619342,-37.6,86,27,14,73,14.0,73.0,74
scenario_58,100,15.2593,20.933777,-5.674477,-37.19,88,27,12,73,12.0,73.0,74
scenario_56,100,14.9869,20.756118,-5.769218,-38.5,88,29,12,71,12.0,71.0,74
scenario_49,100,13.9959,19.774166,-5.778266,-41.29,81,31,9,67,9.0,67.0,73
scenario_61,100,15.4256,21.344916,-5.919316,-38.37,89,28,11,72,11.0,72.0,74
scenario_37,100,14.3807,20.453563,-6.072863,-42.23,80,26,8,71,8.0,71.0,73
scenario_53,100,15.5084,21.668177,-6.159777,-39.72,91,34,9,66,9.0,66.0,74
scenario_10,100,13.612,19.812123,-6.200123,-45.55,76,26,12,72,12.0,72.0,73
scenario_36,100,15.6951,21.942887,-6.247787,-39.81,90,29,10,71,10.0,71.0,74
scenario_3,100,13.5446,19.935995,-6.391395,-47.19,78,32,11,65,11.0,65.0,73
scenario_55,100,15.0913,21.854974,-6.763674,-44.82,85,35,15,65,15.0,65.0,74
scenario_32,100,15.8046,23.330249,-7.525649,-47.62,89,31,11,69,11.0,69.0,74
scenario_68,100,15.0429,22.628625,-7.585725,-50.43,84,35,16,65,16.0,65.0,74
scenario_51,100,13.7905,21.541732,-7.751232,-56.21,78,25,12,73,12.0,73.0,73
