scenario_id,tmt_before,tmt_after,improvement,improvement_percent,coordination_before,coordination_after,num_pairs
scenario_1,-15.8543,-0.0916,15.7627,99.42,12.0,94.0,100
scenario_2,-18.9624,-6.9597,12.0027,63.3,12.0,97.0,100
scenario_3,-17.8215,-5.8753,11.9462,67.03,13.0,98.0,100
scenario_4,-15.2305,-0.3045,14.926,98.0,13.0,93.0,100
scenario_5,-24.9475,-5.1563,19.7912,79.33,13.0,97.0,100
scenario_6,-20.9747,-5.2862,15.6885,74.8,13.0,98.0,100
scenario_7,-17.7863,-5.6461,12.1402,68.26,14.0,98.0,100
scenario_8,-19.0027,-5.8088,13.1939,69.43,12.0,98.0,100
scenario_9,-20.1472,-5.3008,14.8464,73.69,14.0,98.0,100
scenario_10,-19.2274,-4.7347,14.4927,75.38,14.0,97.0,100
scenario_11,-17.8127,-4.3184,13.4943,75.76,12.0,98.0,100
scenario_12,-18.1171,-5.5154,12.6017,69.56,11.0,98.0,100
scenario_13,-18.4497,-4.917,13.5327,73.35,13.0,90.0,100
scenario_14,-45.6815,-4.3458,41.3357,90.49,14.0,98.0,100
scenario_15,-32.1528,-6.0274,26.1254,81.25,14.0,98.0,100
scenario_16,-23.6468,-3.9048,19.742,83.49,11.0,91.0,100
scenario_17,-17.7734,-2.8916,14.8818,83.73,13.0,94.0,100
scenario_18,-18.3251,-4.7175,13.6076,74.26,10.0,98.0,100
scenario_19,-18.0611,-3.8991,14.162,78.41,13.0,98.0,100
scenario_20,-18.2316,-5.0542,13.1774,72.28,11.0,98.0,100
scenario_21,-15.9922,0.0,15.9922,100.0,12.0,100.0,100
scenario_22,-15.895,-0.0143,15.8807,99.91,12.0,98.0,100
scenario_23,-15.6903,0.0,15.6903,100.0,10.0,100.0,100
scenario_24,-15.5895,0.0,15.5895,100.0,15.0,100.0,100
scenario_25,-15.6964,0.0,15.6964,100.0,12.0,100.0,100
scenario_26,-15.8085,-0.3774,15.4311,97.61,7.0,92.0,100
scenario_27,-15.8769,0.0,15.8769,100.0,13.0,100.0,100
scenario_28,-15.8432,0.0,15.8432,100.0,12.0,100.0,100
scenario_29,-15.7265,-0.5061,15.2204,96.78,15.0,91.0,100
scenario_30,-15.6882,-0.0033,15.6849,99.98,9.0,99.0,100
scenario_31,-15.8668,-0.1428,15.724,99.1,11.0,97.0,100
scenario_32,-15.8046,-0.1026,15.702,99.35,11.0,96.0,100
scenario_33,-15.541,0.0,15.541,100.0,12.0,100.0,100
scenario_34,-15.668,0.0,15.668,100.0,11.0,100.0,100
scenario_35,-15.5672,-0.0046,15.5626,99.97,11.0,99.0,100
scenario_36,-15.6951,0.0,15.6951,100.0,10.0,100.0,100
scenario_37,-19.9642,-5.2613,14.7029,73.65,10.0,98.0,100
scenario_38,-19.4904,-5.006,14.4844,74.32,8.0,98.0,100
scenario_39,-17.9669,-5.5343,12.4326,69.2,13.0,98.0,100
scenario_40,-17.84,-4.4007,13.4393,75.33,13.0,92.0,100
scenario_41,-18.7637,-5.424,13.3397,71.09,14.0,98.0,100
scenario_42,-17.7312,-4.6109,13.1203,74.0,16.0,98.0,100
scenario_43,-17.5218,-3.9594,13.5624,77.4,13.0,98.0,100
scenario_44,-17.6427,-4.4116,13.2311,74.99,10.0,98.0,100
scenario_45,-22.8568,-4.8157,18.0411,78.93,13.0,96.0,100
scenario_46,-21.0507,-5.827,15.2237,72.32,12.0,98.0,100
scenario_47,-20.7948,-6.0697,14.7251,70.81,12.0,98.0,100
scenario_48,-19.9803,-5.1068,14.8735,74.44,10.0,97.0,100
scenario_49,-17.7564,-4.1807,13.5757,76.46,11.0,93.0,100
scenario_50,-17.7856,-3.7036,14.082,79.18,9.0,96.0,100
scenario_51,-17.5827,-5.2466,12.3361,70.16,14.0,96.0,100
scenario_52,-17.6468,-5.8027,11.8441,67.12,13.0,97.0,100
scenario_53,-15.5084,-0.0614,15.447,99.6,9.0,97.0,100
scenario_54,-15.3747,-0.089,15.2857,99.42,13.0,93.0,100
scenario_55,-15.0913,0.0,15.0913,100.0,15.0,100.0,100
scenario_56,-14.9869,0.0,14.9869,100.0,12.0,100.0,100
scenario_57,-15.2631,0.0,15.2631,100.0,12.0,100.0,100
scenario_58,-15.2593,-0.1393,15.12,99.09,12.0,97.0,100
scenario_59,-15.1619,0.0,15.1619,100.0,12.0,100.0,100
scenario_60,-15.0577,0.0,15.0577,100.0,12.0,100.0,100
scenario_61,-15.4256,0.0,15.4256,100.0,11.0,100.0,100
scenario_62,-15.3309,-0.1967,15.1342,98.72,14.0,88.0,100
scenario_63,-15.4762,-0.0047,15.4715,99.97,15.0,98.0,100
scenario_64,-15.3634,-0.0015,15.3619,99.99,11.0,99.0,100
scenario_65,-14.8151,-0.1957,14.6194,98.68,15.0,96.0,100
scenario_66,-14.9448,-0.0039,14.9409,99.97,14.0,99.0,100
scenario_67,-14.898,0.0,14.898,100.0,14.0,100.0,100
scenario_68,-15.0429,-0.01,15.0329,99.93,16.0,99.0,100
