Ranking,Escenario,TMT_Inicial,TMT_Optimizado,Reduccion_TMT,Porcentaje_Mejora,Estado,Categoria,Pares_Total,Coordinados_Inicial,Coordinados_Optimizado,Porcentaje_Coord_Inicial,Porcentaje_Coord_Optimizado,Relays_Optimizados
1,scenario_14,26.980,16.111,+10.869,+40.3,MEJORÓ,Excelente,100,12,66,12.0,66.0,73
2,scenario_15,20.395,14.570,+5.825,+28.6,MEJORÓ,Excelente,100,12,67,12.0,67.0,73
3,scenario_47,14.724,13.012,+1.712,+11.6,MEJORÓ,Excelente,100,10,69,10.0,69.0,73
4,scenario_45,15.738,14.384,+1.353,+8.6,MEJORÓ,Excelente,100,11,69,11.0,69.0,73
5,scenario_5,16.883,15.577,+1.306,+7.7,MEJORÓ,Excelente,100,11,70,11.0,70.0,73
6,scenario_34,15.668,14.655,+1.013,+6.5,MEJORÓ,Excelente,100,11,69,11.0,69.0,74
7,scenario_13,13.834,13.340,+0.495,+3.6,MEJORÓ,Bueno,100,10,76,10.0,76.0,73
8,scenario_65,14.815,14.515,+0.300,+2.0,MEJORÓ,Bueno,100,15,75,15.0,75.0,74
9,scenario_8,13.723,14.038,-0.314,-2.3,EMPEORÓ,Neutral,100,10,66,10.0,66.0,73
10,scenario_9,13.889,14.424,-0.535,-3.9,EMPEORÓ,Neutral,100,12,67,12.0,67.0,73
11,scenario_28,15.843,16.482,-0.639,-4.0,EMPEORÓ,Neutral,100,12,69,12.0,69.0,74
12,scenario_11,14.050,14.743,-0.693,-4.9,EMPEORÓ,Neutral,100,10,75,10.0,75.0,73
13,scenario_38,14.109,14.844,-0.735,-5.2,EMPEORÓ,Neutral,100,6,70,6.0,70.0,73
14,scenario_31,15.867,16.876,-1.009,-6.4,EMPEORÓ,Malo,100,11,67,11.0,67.0,74
15,scenario_44,13.896,15.025,-1.129,-8.1,EMPEORÓ,Malo,100,8,67,8.0,67.0,73
16,scenario_62,15.331,16.590,-1.259,-8.2,EMPEORÓ,Malo,100,14,79,14.0,79.0,74
17,scenario_39,13.684,15.167,-1.483,-10.8,EMPEORÓ,Malo,100,11,67,11.0,67.0,73
18,scenario_59,15.162,16.699,-1.538,-10.1,EMPEORÓ,Malo,100,12,68,12.0,68.0,74
19,scenario_50,14.023,15.586,-1.563,-11.1,EMPEORÓ,Malo,100,7,69,7.0,69.0,73
20,scenario_27,15.877,17.646,-1.769,-11.2,EMPEORÓ,Malo,100,13,73,13.0,73.0,74
21,scenario_46,14.734,16.680,-1.946,-13.2,EMPEORÓ,Malo,100,10,73,10.0,73.0,73
22,scenario_2,13.695,15.948,-2.254,-16.5,EMPEORÓ,Malo,100,10,72,10.0,72.0,73
23,scenario_7,13.515,15.864,-2.349,-17.4,EMPEORÓ,Malo,100,12,74,12.0,74.0,73
24,scenario_43,13.732,16.207,-2.475,-18.0,EMPEORÓ,Malo,100,11,75,11.0,75.0,73
25,scenario_48,14.265,16.823,-2.558,-17.9,EMPEORÓ,Malo,100,8,69,8.0,69.0,73
26,scenario_57,15.263,17.892,-2.629,-17.2,EMPEORÓ,Malo,100,12,66,12.0,66.0,74
27,scenario_1,15.854,18.686,-2.831,-17.9,EMPEORÓ,Malo,100,12,64,12.0,64.0,74
28,scenario_30,15.688,18.609,-2.921,-18.6,EMPEORÓ,Malo,100,9,67,9.0,67.0,74
29,scenario_52,13.849,16.978,-3.129,-22.6,EMPEORÓ,Muy Malo,100,11,71,11.0,71.0,73
30,scenario_42,13.412,16.938,-3.525,-26.3,EMPEORÓ,Muy Malo,100,14,65,14.0,65.0,73
31,scenario_41,13.372,16.941,-3.569,-26.7,EMPEORÓ,Muy Malo,100,12,67,12.0,67.0,73
32,scenario_35,15.567,19.168,-3.601,-23.1,EMPEORÓ,Muy Malo,100,11,66,11.0,66.0,74
33,scenario_29,15.726,19.386,-3.659,-23.3,EMPEORÓ,Muy Malo,100,15,63,15.0,63.0,74
34,scenario_23,15.690,19.415,-3.725,-23.7,EMPEORÓ,Muy Malo,100,10,66,10.0,66.0,74
35,scenario_63,15.476,19.208,-3.732,-24.1,EMPEORÓ,Muy Malo,100,15,66,15.0,66.0,74
36,scenario_54,15.375,19.193,-3.819,-24.8,EMPEORÓ,Muy Malo,100,13,62,13.0,62.0,74
37,scenario_22,15.895,19.766,-3.871,-24.4,EMPEORÓ,Muy Malo,100,12,70,12.0,70.0,74
38,scenario_67,14.898,18.772,-3.874,-26.0,EMPEORÓ,Muy Malo,100,14,63,14.0,63.0,74
39,scenario_12,13.873,17.803,-3.930,-28.3,EMPEORÓ,Muy Malo,100,9,71,9.0,71.0,73
40,scenario_20,13.979,17.976,-3.997,-28.6,EMPEORÓ,Muy Malo,100,9,64,9.0,64.0,73
41,scenario_19,13.819,17.820,-4.001,-29.0,EMPEORÓ,Muy Malo,100,11,66,11.0,66.0,73
42,scenario_24,15.589,19.960,-4.371,-28.0,EMPEORÓ,Muy Malo,100,15,71,15.0,71.0,74
43,scenario_26,15.809,20.196,-4.387,-27.8,EMPEORÓ,Muy Malo,100,7,74,7.0,74.0,74
44,scenario_60,15.058,19.549,-4.491,-29.8,EMPEORÓ,Muy Malo,100,12,60,12.0,60.0,74
45,scenario_18,14.105,18.708,-4.602,-32.6,EMPEORÓ,Muy Malo,100,8,73,8.0,73.0,73
46,scenario_17,13.998,18.633,-4.634,-33.1,EMPEORÓ,Muy Malo,100,11,72,11.0,72.0,73
47,scenario_21,15.992,20.685,-4.692,-29.3,EMPEORÓ,Muy Malo,100,12,63,12.0,63.0,74
48,scenario_16,16.080,20.813,-4.733,-29.4,EMPEORÓ,Muy Malo,100,9,68,9.0,68.0,73
