Scenario,TMT_Magnitude,Coordination_%,Total_Pairs,Num_Relays,Avg_TDS,Avg_Pickup,Complexity_Score,Transformer_R2,Transformer_MSE,Transformer_MAE,Valid_Pairs,TMT_Category,Complexity_Category,Transformer_Category,Overall_Score
scenario_42,3.5691,80.0,100,73,0.3987835616438356,0.13293315068493153,0.2605775616210481,0.12081416312964505,0.018772226054350485,0.10267094053065777,98,Poor,Low,Low,0.5543936146957363
scenario_63,1.5604,87.0,100,74,0.4068852702702703,0.41100864864864867,0.6203785210466137,-0.10780581771522252,0.10733096876924865,0.18850632708825457,100,Poor,High,Low,0.544527221843008
scenario_19,3.4442000000000004,76.0,100,73,0.3940153424657534,0.14356068493150684,0.25961950037294246,0.06007675481700908,0.01773732712195774,0.10272849552160758,98,Poor,Low,Low,0.5413121013891613
scenario_8,4.4846,80.0,100,73,0.42757616438356166,0.16437890410958905,0.30947297956457176,0.19323806955168402,0.023397360645275606,0.1156547616920628,98,Poor,Low,Low,0.5321664739308194
scenario_38,4.9591,78.0,100,73,0.4319413698630137,0.17967986301369865,0.2883460996273115,0.2408177789875929,0.01834286593145372,0.10099938658783816,98,Poor,Low,Medium,0.5306294187521811
scenario_41,4.658200000000001,78.0,100,73,0.39996164383561644,0.1772169863013699,0.26571698157323453,0.1781208378290405,0.016965622306996463,0.10285357312832233,98,Poor,Low,Low,0.5272507041127269
scenario_2,4.4558,79.0,100,73,0.4656560273972603,0.1647954794520548,0.2834732698824627,0.13044802136273073,0.02056676691393798,0.10900265119014028,98,Poor,Low,Low,0.5183814159264498
scenario_13,5.020699999999999,80.0,100,73,0.3782846575342466,0.1610578082191781,0.30236583959575525,0.204979471169597,0.022170024798039367,0.11628929283257905,98,Poor,Low,Medium,0.5153109654115159
scenario_10,5.093399999999999,77.0,100,73,0.4101882191780822,0.15347849315068493,0.30480967775467355,0.1808222852063047,0.02455943881749415,0.11878196468006669,98,Poor,Low,Low,0.5047892338986905
scenario_37,5.471800000000001,78.0,100,73,0.41529342465753427,0.15106561643835617,0.276208520347367,0.16649822978413764,0.018305892942661474,0.10690153637232533,98,Poor,Low,Low,0.48964619088313616
scenario_48,5.65,79.0,100,73,0.4389435616438356,0.18189657534246578,0.2975572432823763,0.2004967309847913,0.021202683293099836,0.11640853539794285,98,Poor,Low,Medium,0.4895154328030809
scenario_9,6.2955,78.0,100,73,0.38016671232876714,0.17297369863013703,0.3019568372606566,0.2250122607655441,0.021847835763924774,0.10949748509590113,98,Poor,Low,Medium,0.4703901526405648
scenario_6,6.5761,80.0,100,73,0.45181917808219185,0.16095219178082193,0.3048451124841446,0.22563510802605646,0.021787865186371446,0.10503211948487033,98,Poor,Low,Medium,0.45891976553519526
scenario_47,6.527299999999999,79.0,100,73,0.39606643835616434,0.16511712328767125,0.2857954800451934,0.20619613580396148,0.019174034720773715,0.10413095082864876,98,Poor,Low,Medium,0.4578975187344094
scenario_46,6.949200000000001,77.0,100,73,0.4678697260273973,0.17420424657534248,0.2977527542115533,0.2232608381805824,0.02125535278495021,0.1102967079750796,98,Poor,Low,Medium,0.44434733832244167
scenario_45,8.830899999999996,77.0,100,73,0.4482824657534247,0.16680739726027394,0.2937104019929919,0.20729039642671382,0.021008302432772828,0.110083820118726,98,Poor,Low,Medium,0.36489455862906556
scenario_16,9.5981,79.0,100,73,0.4376009589041096,0.1696760273972603,0.30696301433376366,0.2074332047289387,0.02336975141728763,0.11763537867998294,98,Poor,Low,Medium,0.33226150926861703
scenario_5,10.6294,79.0,100,73,0.444066301369863,0.14588712328767123,0.2894302678125611,0.2284502982072849,0.020531469315414462,0.10468649957018533,98,Poor,Low,Medium,0.32512054929030126
scenario_15,18.1474,77.0,100,73,0.4017645205479452,0.14907232876712329,0.27373607482001017,0.15688499464159744,0.01929157744611437,0.10768965009537564,98,Poor,Low,Low,0.3060050871694777
scenario_14,31.925499999999996,77.0,100,73,0.42425821917808215,0.16265465753424657,0.28921994101000803,0.13575981828096767,0.020892429405250924,0.10894487970807948,98,Poor,Low,Low,0.2973449543327891
