Scenario,TMT_Magnitude,Coordination_%,Total_Pairs,Num_Relays,Avg_TDS,Avg_Pickup,Complexity_Score,Transformer_R2,Transformer_MSE,Transformer_MAE,Valid_Pairs,TMT_Category,Complexity_Category,Transformer_Category,Overall_Score
scenario_57,1.4954999999999998,88.0,100,74,0.439889054054054,0.46435770270270266,0.7124760613081167,0.41409448795050985,0.041403405762652085,0.15970773319022036,100,Poor,High,Medium,0.6575369371889355
scenario_66,1.4975999999999998,86.0,100,74,0.39256432432432437,0.4421966216216217,0.7264109993063691,0.40500773176269333,0.04506792182699435,0.16397454833382502,100,Poor,High,Medium,0.6526366696328526
scenario_64,1.5552,87.0,100,74,0.431022972972973,0.4692012162162162,0.6989503804277569,0.3648568462393941,0.04841195406658785,0.1639625372362953,100,Poor,High,Medium,0.6424064968076548
scenario_25,1.4659,85.0,100,74,0.4371358108108108,0.5195094594594595,0.7603767466722966,0.38185957493292,0.05298103256652511,0.18167278818060745,100,Poor,High,Medium,0.6418653604790315
scenario_26,1.4883000000000002,85.0,100,74,0.4530574324324325,0.5181812162162164,0.8746326072649518,0.44185082486538135,0.047921236836279635,0.15386010881634044,100,Poor,High,Medium,0.6418283563698717
scenario_35,1.4608,87.0,100,74,0.43186270270270266,0.47215391891891895,0.6994635590168975,0.3464433125140435,0.049221308953774176,0.16671756949664363,100,Poor,High,Medium,0.6405814599016785
scenario_34,1.4870999999999999,85.0,100,74,0.3765447297297298,0.5112674324324326,0.7896216261170192,0.3825244739655787,0.046937254690781485,0.16683363938504908,100,Poor,High,Medium,0.6368300982721208
scenario_67,1.4633,86.0,100,74,0.3707825675675676,0.5054574324324325,0.8448368256003134,0.39925579096022146,0.04223935753272186,0.157057529471041,100,Poor,High,Medium,0.6345192134480193
scenario_28,1.4890999999999999,85.0,100,74,0.4032351351351351,0.5096524324324324,0.8683769876070394,0.41145126920371955,0.049502597649447644,0.1698439625092947,100,Poor,High,Medium,0.6336148326200599
scenario_24,1.4495,86.0,100,74,0.42673,0.5022040540540541,0.8697059500516803,0.4040727356296644,0.05985892971579071,0.17412522462061925,100,Poor,High,Medium,0.6327859281811472
scenario_59,1.504,86.0,100,74,0.4097345945945946,0.520825,0.8080302733896699,0.38007236124600274,0.07423796422063092,0.1790757168385288,100,Poor,High,Medium,0.6326571673653503
scenario_22,1.5195999999999998,83.0,100,74,0.4580183783783783,0.4439914864864865,0.6655181066231651,0.3088211317864699,0.06269519455855727,0.168281043911431,100,Poor,High,Medium,0.6320346235424662
scenario_36,1.4761000000000002,87.0,100,74,0.4053867567567567,0.4631847297297297,0.8652980938409434,0.4011449242707317,0.06743210715198318,0.18210140325407637,100,Poor,High,Medium,0.6315047632050781
scenario_29,1.4907,84.0,100,74,0.4072370270270271,0.44936378378378383,0.7056707096146294,0.31875908964352495,0.054441726783368755,0.16076532948174463,100,Poor,High,Medium,0.6301491204508631
scenario_68,1.4962000000000002,86.0,100,74,0.40636648648648643,0.42443837837837833,0.7067386524854391,0.3173657229500487,0.056188300020930546,0.16730401518067237,100,Poor,High,Medium,0.6293509190121986
scenario_4,1.512,88.0,100,74,0.42966932432432425,0.4388052702702703,0.6353994090535199,0.2736496780222435,0.07042254840227904,0.16293358444855044,100,Poor,High,Medium,0.6263049920486451
scenario_30,1.4708,84.0,100,74,0.4520495945945946,0.4997545945945946,0.8495868253758717,0.37426430958237467,0.04860083948167631,0.1720575637422521,100,Poor,High,Medium,0.6260092690683317
scenario_55,1.5005,88.0,100,74,0.39900175675675675,0.48196621621621616,0.875037024194111,0.3891667030594104,0.04948784684094784,0.1595500106618355,100,Poor,High,Medium,0.6254744572887064
scenario_21,1.5404,82.0,100,74,0.4877620270270271,0.4393290540540541,0.7408137079166259,0.32050947724400114,0.0465917060201024,0.16491823328334956,100,Poor,High,Medium,0.6234147869857065
scenario_56,1.4637999999999998,88.0,100,74,0.41070229729729724,0.5222175675675677,0.9788724825325681,0.4283354833554115,0.07304528056623125,0.18763015308779304,100,Poor,High,Medium,0.6231177726267383
