Scenario,Has_Optimization,Total_Pairs,TMT,Coordination_Percentage,Mean_DT,Std_DT,Min_DT,Max_DT,TMT_After,TMT_Improvement,TMT_Improvement_Pct,Coord_After,Coord_Improvement,Mean_DT_After,Std_DT_After
automation_results_scenario_18,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.717461803596333,-4.717461803596333,0.0,98.0,98.0,inf,
automation_results_scenario_10,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.734654530887932,-4.734654530887932,0.0,97.0,97.0,inf,
automation_results_scenario_3,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.87529589051433,-5.87529589051433,0.0,98.0,98.0,inf,
automation_results_scenario_61,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.5823752737725922,0.7339297374778629
automation_results_scenario_17,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8915698752001524,-2.8915698752001524,0.0,94.0,94.0,inf,
automation_results_scenario_66,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038704700372836354,-0.0038704700372836354,0.0,99.0,99.0,0.9338211155753658,1.1056468149878629
automation_results_scenario_4,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3045234714275045,-0.3045234714275045,0.0,93.0,93.0,0.5083427397836555,0.6286240057470889
automation_results_scenario_16,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9048399334707753,-3.9048399334707753,0.0,91.0,91.0,inf,
automation_results_scenario_5,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.156330328802622,-5.156330328802622,0.0,97.0,97.0,inf,
automation_results_scenario_67,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,1.174302806866434,1.593052361023376
automation_results_scenario_11,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.318404730619123,-4.318404730619123,0.0,98.0,98.0,inf,
automation_results_scenario_60,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.6582527028373153,0.7960875561282253
automation_results_scenario_2,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.959651288113998,-6.959651288113998,0.0,97.0,97.0,inf,
automation_results_scenario_68,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010005018577067759,-0.010005018577067759,0.0,99.0,99.0,0.8436368372698604,0.9348388108396367
automation_results_scenario_19,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-3.899079373206953,-3.899079373206953,0.0,98.0,98.0,inf,
automation_results_scenario_62,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19674383184960598,-0.19674383184960598,0.0,88.0,88.0,0.5246132676422212,0.7464364693122071
automation_results_scenario_13,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.916973494860312,-4.916973494860312,0.0,90.0,90.0,inf,
automation_results_scenario_8,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.808786743579221,-5.808786743579221,0.0,98.0,98.0,inf,
automation_results_scenario_65,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19569324326845017,-0.19569324326845017,0.0,96.0,96.0,0.9916118413624473,1.0937381173113807
automation_results_scenario_7,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.64605735174967,-5.64605735174967,0.0,98.0,98.0,inf,
automation_results_scenario_14,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.345753297444736,-4.345753297444736,0.0,98.0,98.0,inf,
automation_results_scenario_6,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.2861845771698395,-5.2861845771698395,0.0,98.0,98.0,inf,
automation_results_scenario_64,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015056953636836679,-0.0015056953636836679,0.0,99.0,99.0,0.5290025575387078,0.5271656492414881
automation_results_scenario_15,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-6.027438637630837,-6.027438637630837,0.0,98.0,98.0,inf,
automation_results_scenario_9,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.300795719922487,-5.300795719922487,0.0,98.0,98.0,inf,
automation_results_scenario_63,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004701264759709445,-0.004701264759709445,0.0,98.0,98.0,1.0312094071268212,1.1696039237425286
automation_results_scenario_1,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.8279280654552381,0.8071724357753172
automation_results_scenario_12,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-5.51535586197201,-5.51535586197201,0.0,98.0,98.0,inf,
automation_results_scenario_42,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-4.610926594523436,-4.610926594523436,0.0,98.0,98.0,inf,
automation_results_scenario_57,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.768053412449836,0.7818827792319026
automation_results_scenario_26,True,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3774489186014689,-0.3774489186014689,0.0,92.0,92.0,0.8052454515333118,1.0818389164201674
