Scenario,Main_Relay,Backup_Relay,Time_Main,Time_Backup,DT,Coordinated,Main_TDS,Main_Pickup,Backup_TDS,Backup_Pickup
scenario_1,R38,R39,0.1989,0.3989,-2.7755575615628914e-17,False,0.05,0.17386,0.08837,0.12595
scenario_1,R38,R55,0.1989,0.3989,-2.7755575615628914e-17,False,0.05,0.17386,0.11869,0.05198
scenario_1,R10,R9,0.2905,0.2965,-0.194,False,0.15058,0.05151,0.1509,0.05474
scenario_1,R47,R48,0.3008,0.3071,-0.19370000000000004,False,0.14041,0.05151,0.14541,0.04929
scenario_1,R11,R10,0.2587,0.2975,-0.1612,False,0.13272,0.04929,0.15058,0.05151
scenario_1,R48,R49,0.2941,0.3011,-0.193,False,0.14541,0.04929,0.13306,0.02586
scenario_1,R48,R72,0.2941,0.3011,-0.193,False,0.14541,0.04929,0.15182,0.02907
scenario_1,R12,R11,0.2458,0.2761,-0.1697,False,0.16156,0.02586,0.13272,0.04929
scenario_1,R12,R72,0.2458,0.3066,-0.13920000000000002,False,0.16156,0.02586,0.15182,0.02907
scenario_1,R49,R50,0.2485,0.2934,-0.15510000000000002,False,0.13306,0.02586,0.16451,0.02194
scenario_1,R13,R12,0.2698,0.2842,-0.1856,False,0.16024,0.02194,0.16156,0.02586
scenario_1,R50,R51,0.2724,0.2828,-0.1896,False,0.16451,0.02194,0.17379,0.02049
scenario_1,R14,R13,0.0883,0.2883,0.0,True,0.05,0.02049,0.16024,0.02194
scenario_1,R51,R52,0.2664,0.1217,-0.3447,False,0.17379,0.02049,0.05,0.03238
scenario_1,R51,R34,0.2664,0.2833,-0.18310000000000004,False,0.17379,0.02049,0.11829,0.06423
scenario_1,R15,R14,0.2676,0.0945,-0.3731,False,0.16061,0.03238,0.05,0.02049
scenario_1,R15,R34,0.2676,0.2833,-0.18430000000000002,False,0.16061,0.03238,0.11829,0.06423
scenario_1,R52,R53,0.1151,0.3151,0.0,True,0.05,0.03238,0.14264,0.02871
