Main,Backup,Time_main_before,Time_backup_before,dt_before,coord_before,Time_main_after,Time_backup_after,dt_after,coord_after,improvement
R66,R67,0.2699,0.0857,-0.3842,NO,2.2824066634749602,2.8500569858872504,0.3676503224122902,YES,0.7518503224122901
R7,R6,0.2806,0.0969,-0.38370000000000004,NO,0.8927298914743548,1.342354145834159,0.24962425435980423,YES,0.6333242543598043
R15,R14,0.2676,0.0945,-0.3731,NO,2.232892636399655,2.5039470624336575,0.07105442603400264,YES,0.4441544260340026
R43,R44,0.2732,0.1067,-0.3665,NO,1.6746952594141042,2.4566986415692638,0.5820033821551596,YES,0.9485033821551596
R30,R29,0.242,0.0899,-0.3521,NO,1.6120045848865674,1.977201439477722,0.16519685459115457,YES,0.5172968545911546
R51,R52,0.2664,0.1217,-0.3447,NO,1.440314363762699,1.6760879133802404,0.03577354961754148,YES,0.3804735496175415
R9,R8,0.2566,0.13,-0.3266,NO,1.136861006753871,1.6412421785975837,0.30438117184371277,YES,0.6309811718437128
R45,R46,0.254,0.1562,-0.2978,NO,1.3787975335073805,1.7140699911071489,0.1352724575997683,YES,0.4330724575997683
R34,R8,0.2112,0.1335,-0.2777,NO,1.5023403220718266,1.7472660397258502,0.04492571765402359,YES,0.3226257176540236
R71,R14,0.1676,0.0969,-0.2707,NO,0.9022003570133985,2.64932557839498,1.5471252213815816,YES,1.8178252213815815
R71,R52,0.1676,0.1244,-0.24320000000000003,NO,0.9022003570133985,1.7752845830191806,0.6730842260057821,YES,0.9162842260057822
R34,R46,0.2112,0.1748,-0.2364,NO,1.5023403220718266,2.074302981214913,0.3719626591430866,YES,0.6083626591430866
R31,R30,0.2701,0.2593,-0.21080000000000004,NO,1.6669386663049395,2.1599704932603814,0.2930318269554419,YES,0.5038318269554419
R68,R69,0.2758,0.2685,-0.20729999999999998,NO,2.557855476483463,2.7839955059642016,0.026140029480738736,YES,0.23344002948073872
R73,R32,0.2818,0.2826,-0.1992,NO,1.5458394179015582,1.7852910858822444,0.03945166798068617,YES,0.23865166798068616
R74,R66,0.2838,0.2848,-0.199,NO,1.7095710694530557,2.4128187430482204,0.5032476735951648,YES,0.7022476735951648
R74,R28,0.2838,0.2849,-0.19890000000000002,NO,1.7095710694530557,1.9165090903655042,0.006938020912448495,YES,0.20583802091244852
R32,R31,0.2743,0.2759,-0.19840000000000002,NO,1.6472492076391045,1.840528810250858,-0.006720397388246646,NO,0.19167960261175337
R40,R41,0.3142,0.3174,-0.19679999999999997,NO,2.308528803313546,2.759443595149143,0.2509147918355971,YES,0.4477147918355971
R61,R74,0.2964,0.3002,-0.19619999999999999,NO,1.7129271397100947,1.9451713980823884,0.032244258372293666,YES,0.22844425837229365
R54,R73,0.2863,0.2917,-0.1946,NO,1.4334437998577079,1.6333359819336746,-0.00010781792403330437,NO,0.1944921820759667
R63,R64,0.3113,0.3169,-0.19440000000000002,NO,1.6945530394035513,3.217162592348758,1.3226095529452069,YES,1.5170095529452068
R10,R9,0.2905,0.2965,-0.194,NO,1.3912046805096123,1.8659265143667532,0.27472183385714083,YES,0.46872183385714083
R47,R48,0.3008,0.3071,-0.19370000000000004,NO,2.0907520634881314,2.2960766938322856,0.0053246303441542575,YES,0.1990246303441543
R55,R56,0.3338,0.3406,-0.19319999999999998,NO,1.9407429018208677,2.1886603282376718,0.04791742641680402,YES,0.241117426416804
