Scenario,Total_Pairs,Coordinated_Pairs,Uncoordinated_Pairs,Coordination_Percentage,TMT_Signed,TMT_Magnitude,Mean_DT,Std_DT,Min_DT,Max_DT,Median_DT
scenario_1,100,12,88,12.0,-15.854299999999997,15.854299999999997,-0.15840800000000002,0.09140289894746227,-0.3842,0.008000000000000007,-0.17570000000000002
scenario_10,100,14,86,14.000000000000002,-19.227399999999996,19.227399999999996,-0.17729699999999998,0.21404423489316407,-1.2926,0.9390000000000001,-0.17895
scenario_11,100,12,88,12.0,-17.812700000000003,17.812700000000003,-0.091148,0.8066428589506013,-0.5017,7.8137,-0.18295
scenario_12,100,11,89,11.0,-18.117099999999994,18.117099999999994,-0.15992800000000001,0.20799673510899155,-0.509,1.3395,-0.1808
scenario_13,100,13,87,13.0,-18.4497,18.4497,-0.171677,0.22711197804387157,-1.8092,0.3301,-0.1731
scenario_14,100,14,86,14.000000000000002,-45.681500000000014,45.681500000000014,-0.30789799999999995,2.221547931870028,-14.3065,13.9204,-0.17625000000000002
scenario_15,100,14,86,14.000000000000002,-32.1528,32.1528,-0.24904900000000005,1.1097472333369434,-7.3756,6.6438,-0.17850000000000002
scenario_16,100,11,89,11.0,-23.6468,23.6468,-0.20308,0.48998486058244695,-3.2035,2.8254999999999995,-0.17890000000000003
scenario_17,100,13,87,13.0,-17.773400000000002,17.773400000000002,-0.026339000000000022,1.3900371235974238,-0.4955,13.7026,-0.18105000000000002
scenario_18,100,10,90,10.0,-18.32510000000001,18.32510000000001,-0.16204400000000002,0.2159120572455369,-0.4991,1.4976000000000003,-0.18295
scenario_19,100,13,87,13.0,-18.061100000000003,18.061100000000003,-0.15133000000000002,0.2766295105371081,-0.5032000000000001,2.2249999999999996,-0.17930000000000001
scenario_2,100,12,88,12.0,-18.9624,18.9624,-0.179323,0.1763241718284819,-0.9822,0.6373,-0.18130000000000002
scenario_20,100,11,89,11.0,-18.231599999999997,18.231599999999997,-0.03377099999999999,1.4229198895436805,-0.5058,14.049700000000001,-0.18135
scenario_21,100,12,88,12.0,-15.992200000000002,15.992200000000002,-0.15969299999999997,0.09281728638028587,-0.4031,0.01639999999999997,-0.17784999999999998
scenario_22,100,12,88,12.0,-15.895,15.895,-0.15882800000000002,0.09216164937760175,-0.3877,0.006200000000000011,-0.17585
scenario_23,100,10,90,10.0,-15.6903,15.6903,-0.156418,0.09266726107962835,-0.38780000000000003,0.03269999999999998,-0.17279999999999998
scenario_24,100,15,85,15.0,-15.589500000000001,15.589500000000001,-0.15477400000000002,0.09391814800133146,-0.3925,0.0688999999999999,-0.17120000000000002
scenario_25,100,12,88,12.0,-15.696399999999999,15.696399999999999,-0.156951,0.09218356197826161,-0.39880000000000004,0.0012999999999999678,-0.1746
scenario_26,100,7,93,7.000000000000001,-15.808500000000004,15.808500000000004,-0.158053,0.09198032121600794,-0.41250000000000003,0.0031000000000000194,-0.17450000000000002
scenario_27,100,13,87,13.0,-15.876900000000001,15.876900000000001,-0.158466,0.09155469318391057,-0.384,0.01579999999999998,-0.17535
